"status","code","msg","response__c","response__h","response__l","response__ch","response__cp","response__t","response__s","response__cty","response__ccy","response__exch","response__id","response__tm","info__exchanges","info__sectors","info__server_time","info__credit_count","info___t"
"","","","99.65","100.60","97.60","+2.15","2.21%","1611050386","NTPC","india","INR","BSE","63559","2021-01-19 09:59:46","","","","",""
"","","","98.30","99.00","97.50","+1.60","1.65%","1611050399","ONGC","india","INR","BSE","63560","2021-01-19 09:59:59","","","","",""
"","","","199.00","200.00","195.40","+3.05","1.56%","1611050399","PGRD","india","INR","BSE","63561","2021-01-19 09:59:59","","","","",""
"","","","2016.30","2030.90","1993.65","+32.80","1.65%","1611051000","RELI","india","INR","BSE","63562","2021-01-19 10:10:00","","","","",""
"","","","298.40","302.50","296.35","+4.30","1.46%","1611050397","SBI","india","INR","BSE","63563","2021-01-19 09:59:57","","","","",""
"","","","174.70","175.85","169.10","+6.20","3.68%","1611050398","VDAN","india","INR","BSE","63564","2021-01-19 09:59:58","","","","",""
"","","","602.00","602.75","585.00","+20.60","3.54%","1611050395","SUN","india","INR","BSE","63565","2021-01-19 09:59:55","","","","",""
"","","","3270.00","3279.00","3229.00","+49.20","1.53%","1611050397","TCS","india","INR","BSE","63566","2021-01-19 09:59:57","","","","",""
"","","","258.85","261.70","251.40","+13.20","5.37%","1611051009","TAMO","india","INR","BSE","63567","2021-01-19 10:10:09","","","","",""
"","","","680.65","683.90","647.60","+14.45","2.17%","1611051000","TISC","india","INR","BSE","63568","2021-01-19 10:10:00","","","","",""
"","","","995.00","1008.90","987.45","-3.00","-0.3%","1611050399","TEML","india","INR","BSE","63569","2021-01-19 09:59:59","","","","",""
"","","","29.50","30.45","27.60","0.00","0%","05:59:58","YESB","india","INR","BSE","63570","2020-01-19 00:00:00","","","","",""
"","","","100.15","102.20","97.50","+3.35","3.46%","1611050392","TAMdv","india","INR","BSE","63571","2021-01-19 09:59:52","","","","",""
"","","","2651.00","2676.60","2590.00","+62.80","2.43%","1611050399","ASPN","india","INR","NSE","63572","2021-01-19 09:59:59","","","","",""
"","","","670.50","671.95","659.75","+13.50","2.05%","1611050399","AXBK","india","INR","NSE","63573","2021-01-19 09:59:59","","","","",""
"","","","3629.00","3664.00","3561.10","+65.25","1.83%","1611050399","BAJA","india","INR","NSE","63574","2021-01-19 09:59:59","","","","",""
"","","","4968.00","4994.95","4752.00","+248.15","5.26%","1611050399","BJFN","india","INR","NSE","63575","2021-01-19 09:59:59","","","","",""
"","","","8919.00","8978.00","8400.00","+564.40","6.76%","1611050399","BJFS","india","INR","NSE","63576","2021-01-19 09:59:59","","","","",""
"","","","413.60","418.00","408.25","+4.05","0.99%","1611050399","BPCL","india","INR","NSE","63577","2021-01-19 09:59:59","","","","",""
"","","","591.45","597.45","586.50","+4.50","0.77%","1611050399","BRTI","india","INR","NSE","63578","2021-01-19 09:59:59","","","","",""
"","","","3605.00","3649.85","3587.00","-2.85","-0.08%","1611050399","BRIT","india","INR","NSE","63579","2021-01-19 09:59:59","","","","",""
"","","","825.00","825.40","802.50","+23.25","2.9%","1611050399","CIPL","india","INR","NSE","63580","2021-01-19 09:59:59","","","","",""
"","","","140.50","141.90","139.60","+1.80","1.3%","1611050399","COAL","india","INR","NSE","63581","2021-01-19 09:59:59","","","","",""
